repo_relative_path,source_origin_path,file_category,source_type,sha256,byte_size,frozen_original_or_wrapper,scientific_artifact,contains_raw_url,contains_site_name,contains_personal_path,contains_credentials,contains_manuscript_content,safety_review_status,publication_status,notes
.gitignore,CREATED_FOR_PUBLICATION_REPOSITORY,METADATA_AND_CONFIG,NEW_METADATA,a6381fbff52dedc0194887bab19bd56e4f2e256dfbf4c6b5c4ad00654c483e69,487,WRAPPER,NO,NO,NO,NO,NO,NO,SAFE_INTENTIONAL,INCLUDE,Verified clean publication file
CITATION.cff,CREATED_FOR_PUBLICATION_REPOSITORY,METADATA_AND_CONFIG,NEW_METADATA,262a9f4701d95581a1dd49bde1b85ee4466f83e051ab372d9db6719ef40f4bde,585,WRAPPER,NO,NO,NO,NO,NO,NO,SAFE_INTENTIONAL,INCLUDE,Verified clean publication file
LICENSE,CREATED_FOR_PUBLICATION_REPOSITORY,METADATA_AND_CONFIG,NEW_METADATA,fc94ea40a12f00fc18a164009f2dcf282bc563785916de6fbc9d2c5251e2f24f,1322,WRAPPER,NO,NO,NO,NO,NO,NO,SAFE_INTENTIONAL,INCLUDE,Verified clean publication file
README.md,CREATED_FOR_PUBLICATION_REPOSITORY,METADATA_AND_CONFIG,NEW_DOCUMENTATION,adb0debe73128304cdb1189adf96af8ef729f7d92213d47c4f5f41f550789c05,4293,WRAPPER,NO,NO,NO,NO,NO,NO,SAFE_INTENTIONAL,INCLUDE,Verified clean publication file
configs/README.md,CREATED_FOR_PUBLICATION_REPOSITORY,REPRODUCIBILITY_GOVERNANCE,NEW_AUDIT_RECORD,4340796c0d7bb769f6c569bcdb14cd655c84264386e7722eaf917d59523273ee,278,WRAPPER,NO,NO,NO,NO,NO,NO,SAFE_INTENTIONAL,INCLUDE,Verified clean publication file
configs/hyperparameter_contract.json,CREATED_FOR_PUBLICATION_REPOSITORY,REPRODUCIBILITY_GOVERNANCE,NEW_AUDIT_RECORD,f1582e96f0e510ecbac88ce2f6028f445b5c23aaf3f58cdfce7bbb96dd80f90e,318,WRAPPER,NO,NO,NO,NO,NO,NO,SAFE_INTENTIONAL,INCLUDE,Verified clean publication file
data/README.md,CREATED_FOR_PUBLICATION_REPOSITORY,METADATA_AND_CONFIG,NEW_DOCUMENTATION,d783b7688ecec45f5724c64fb90794eb6cc6dc6a4960d1ca7793185a0b2765d8,2754,WRAPPER,NO,NO,NO,NO,NO,NO,SAFE_INTENTIONAL,INCLUDE,Verified clean publication file
environment/environment_snapshot.txt,CREATED_FOR_PUBLICATION_REPOSITORY,METADATA_AND_CONFIG,NEW_METADATA,48c7bcc44284cca38e147bd51fc1c46c44590bb7ddbf858ef51bb739983cde8d,542,WRAPPER,NO,NO,NO,NO,NO,NO,SAFE_INTENTIONAL,INCLUDE,Verified clean publication file
environment/python_version.txt,CREATED_FOR_PUBLICATION_REPOSITORY,METADATA_AND_CONFIG,NEW_METADATA,41b9d31b1bd1e8b88615e011456918b8ec725e72c6e273ad54965cab15e2f81b,12,WRAPPER,NO,NO,NO,NO,NO,NO,SAFE_INTENTIONAL,INCLUDE,Verified clean publication file
environment/requirements_detected.txt,CREATED_FOR_PUBLICATION_REPOSITORY,METADATA_AND_CONFIG,NEW_METADATA,1fa8260e2e591e5344d40cf6708cb75c569cf989509b07b7ab72bdf9e5f9a72e,155,WRAPPER,NO,NO,NO,NO,NO,NO,SAFE_INTENTIONAL,INCLUDE,Verified clean publication file
figures/MAIN_F1_framework_split.pdf,f:/phishing-unseen-domain-research/phishing-unseen-domain-research/figures/MAIN_F1_framework_split.pdf,FIGURE,COPIED_FROZEN_RESULT,e35dcdd2c7ae25d23ca10450aa9e3029e37e3e541ed5928a64ffefe8311beee2,16310,FROZEN_ORIGINAL,YES,NO,NO,NO,NO,NO,SAFE_INTENTIONAL,INCLUDE,Verified clean publication file
figures/MAIN_F1_framework_split.png,f:/phishing-unseen-domain-research/phishing-unseen-domain-research/figures/MAIN_F1_framework_split.png,FIGURE,COPIED_FROZEN_RESULT,9ff90532957431056552c72c6a2703234ac73f4fde4ee57fd4b16d91dd02a7ff,87241,FROZEN_ORIGINAL,YES,NO,NO,NO,NO,NO,SAFE_INTENTIONAL,INCLUDE,Verified clean publication file
figures/MAIN_F1_framework_split.svg,f:/phishing-unseen-domain-research/phishing-unseen-domain-research/figures/MAIN_F1_framework_split.svg,FIGURE,COPIED_FROZEN_RESULT,6b75b141761a27be8e19f9512400726a989979704463d702e9ac2c9254a99031,36422,FROZEN_ORIGINAL,YES,NO,NO,NO,NO,NO,SAFE_INTENTIONAL,INCLUDE,Verified clean publication file
