site_frame_id,tranco_rank,tranco_domain,request_started_at,request_finished_at,request_status,records_returned,retry_count,error_type
tfv1:000001,10027,ciceksepeti.com,2026-08-20T12:23:16+00:00,2026-08-20T12:23:21+00:00,COMPLETED,50,0,
tfv1:000002,10038,hotpic.me,2026-08-20T12:23:22+00:00,2026-08-20T12:23:26+00:00,COMPLETED,0,0,
tfv1:000003,10111,contentstack.io,2026-08-20T12:23:27+00:00,2026-08-20T12:23:31+00:00,COMPLETED,15,0,
tfv1:000004,10142,loteriasdehoy.co,2026-08-20T12:23:32+00:00,2026-08-20T12:23:37+00:00,COMPLETED,50,0,
tfv1:000005,10213,google.li,2026-08-20T12:23:38+00:00,2026-08-20T12:23:42+00:00,COMPLETED,50,0,
tfv1:000006,10233,u-money.money,2026-08-20T12:36:03+00:00,2026-08-20T12:36:10+00:00,COMPLETED,0,0,
tfv1:000007,10364,pearltrees.com,2026-08-20T12:36:11+00:00,2026-08-20T12:36:17+00:00,COMPLETED,50,0,
tfv1:000008,10387,google.dj,2026-08-20T12:36:18+00:00,2026-08-20T12:36:24+00:00,COMPLETED,50,0,
tfv1:000009,10426,link.me,2026-08-20T12:36:25+00:00,2026-08-20T12:36:50+00:00,COMPLETED,3,1,
tfv1:000010,10472,yahoosandbox.net,2026-08-20T12:36:51+00:00,2026-08-20T12:36:57+00:00,COMPLETED,0,0,
tfv1:000011,10513,my-imcloud.com,2026-08-20T12:36:58+00:00,2026-08-20T12:37:06+00:00,COMPLETED,0,0,
tfv1:000012,10611,shaw.ca,2026-08-20T12:37:07+00:00,2026-08-20T12:37:14+00:00,COMPLETED,50,0,
tfv1:000013,10634,polovniautomobili.com,2026-08-20T12:37:15+00:00,2026-08-20T12:37:20+00:00,COMPLETED,0,0,
tfv1:000014,10753,marxists.org,2026-08-20T12:37:21+00:00,2026-08-20T12:37:25+00:00,COMPLETED,50,0,
tfv1:000015,10968,192.in-addr.arpa,2026-08-20T12:37:26+00:00,2026-08-20T12:37:31+00:00,COMPLETED,0,0,
tfv1:000016,11271,voipbuster.com,2026-08-20T12:37:32+00:00,2026-08-20T12:37:36+00:00,COMPLETED,22,0,
tfv1:000017,11277,feefo.com,2026-08-20T12:37:37+00:00,2026-08-20T12:37:42+00:00,COMPLETED,50,0,
tfv1:000018,11281,pitchbook.com,2026-08-20T12:37:43+00:00,2026-08-20T12:37:49+00:00,COMPLETED,0,0,
tfv1:000019,11379,zoomdev.us,2026-08-20T12:37:50+00:00,2026-08-20T12:37:54+00:00,COMPLETED,0,0,
tfv1:000020,11551,honda.co.jp,2026-08-20T12:37:55+00:00,2026-08-20T12:38:00+00:00,COMPLETED,50,0,
tfv1:000021,11601,omni.ru,2026-08-20T12:38:01+00:00,2026-08-20T12:38:06+00:00,COMPLETED,0,0,
tfv1:000022,11625,jdpower.com,2026-08-20T12:38:07+00:00,2026-08-20T12:38:14+00:00,COMPLETED,50,0,
tfv1:000023,11640,sportsplus.ph,2026-08-20T12:38:15+00:00,2026-08-20T12:38:19+00:00,COMPLETED,0,0,
tfv1:000024,11740,zoznam.sk,2026-08-20T12:38:20+00:00,2026-08-20T12:38:26+00:00,COMPLETED,50,0,
tfv1:000025,11768,atlanticcouncil.org,2026-08-20T12:38:27+00:00,2026-08-20T12:38:31+00:00,COMPLETED,50,0,
tfv1:000026,11777,sinch.com,2026-08-20T12:38:32+00:00,2026-08-20T12:38:39+00:00,COMPLETED,50,0,
tfv1:000027,11809,sport-express.ru,2026-08-20T12:38:40+00:00,2026-08-20T12:38:44+00:00,COMPLETED,50,0,
tfv1:000028,11903,axiom.co,2026-08-20T12:38:45+00:00,2026-08-20T12:38:50+00:00,COMPLETED,50,0,
tfv1:000029,11953,devpost.com,2026-08-20T12:38:51+00:00,2026-08-20T12:38:56+00:00,COMPLETED,50,0,
tfv1:000030,12059,superwall.me,2026-08-20T12:38:57+00:00,2026-08-20T12:39:02+00:00,COMPLETED,6,0,
tfv1:000031,12083,swatch.com,2026-08-20T12:39:07+00:00,2026-08-20T12:39:15+00:00,COMPLETED,50,0,
tfv1:000032,12104,kodak.com,2026-08-20T12:39:16+00:00,2026-08-20T12:39:21+00:00,COMPLETED,50,0,
tfv1:000033,12362,oszar.com,2026-08-20T12:39:22+00:00,2026-08-20T12:39:27+00:00,COMPLETED,0,0,
tfv1:000034,12508,sovcloud.cn,2026-08-20T12:39:28+00:00,2026-08-20T12:39:33+00:00,COMPLETED,1,0,
tfv1:000035,12538,smu.edu.sg,2026-08-20T12:39:34+00:00,2026-08-20T12:39:40+00:00,COMPLETED,50,0,
tfv1:000036,12605,indiadafa.com,2026-08-20T12:39:41+00:00,2026-08-20T12:39:46+00:00,COMPLETED,0,0,
tfv1:000037,12615,thepioneerwoman.com,2026-08-20T12:39:47+00:00,2026-08-20T12:39:52+00:00,COMPLETED,27,0,
tfv1:000038,12742,china.org.cn,2026-08-20T12:39:53+00:00,2026-08-20T12:39:58+00:00,COMPLETED,50,0,
tfv1:000039,12848,fozzy.com,2026-08-20T12:39:59+00:00,2026-08-20T12:40:04+00:00,COMPLETED,50,0,
tfv1:000040,12890,i-mobile.co.jp,2026-08-20T12:40:05+00:00,2026-08-20T12:40:11+00:00,COMPLETED,50,0,
tfv1:000041,12909,rakuten.tv,2026-08-20T12:40:12+00:00,2026-08-20T12:40:17+00:00,COMPLETED,50,0,
tfv1:000042,13004,vegamovie.sl,2026-08-20T12:40:18+00:00,2026-08-20T12:40:22+00:00,COMPLETED,0,0,
tfv1:000043,13029,mawartotozoro.com,2026-08-20T12:40:23+00:00,2026-08-20T12:40:29+00:00,COMPLETED,0,0,
tfv1:000044,13088,syracuse.com,2026-08-20T12:40:30+00:00,2026-08-20T12:40:34+00:00,COMPLETED,0,0,
tfv1:000045,13287,ja.net,2026-08-20T12:40:35+00:00,2026-08-20T12:40:40+00:00,COMPLETED,20,0,
tfv1:000046,13292,korrespondent.net,2026-08-20T12:40:41+00:00,2026-08-20T12:40:47+00:00,COMPLETED,50,0,
tfv1:000047,13296,canalplus.com,2026-08-20T12:40:48+00:00,2026-08-20T12:40:56+00:00,COMPLETED,50,0,
tfv1:000048,13316,uclahealth.org,2026-08-20T12:40:57+00:00,2026-08-20T12:41:02+00:00,COMPLETED,50,0,
tfv1:000049,13330,zerodha.com,2026-08-20T12:41:03+00:00,2026-08-20T12:41:23+00:00,COMPLETED,50,1,
tfv1:000050,13551,ppcloudbackup.com,2026-08-20T12:41:24+00:00,2026-08-20T12:41:30+00:00,COMPLETED,0,0,
tfv1:000051,13666,demonoid.ch,2026-08-20T12:41:31+00:00,2026-08-20T12:41:36+00:00,COMPLETED,0,0,
tfv1:000052,13728,openart.ai,2026-08-20T12:41:37+00:00,2026-08-20T12:41:41+00:00,COMPLETED,50,0,
tfv1:000053,13747,seek.com.au,2026-08-20T12:41:42+00:00,2026-08-20T12:41:47+00:00,COMPLETED,0,0,
tfv1:000054,13797,cloud.globo,2026-08-20T12:41:48+00:00,2026-08-20T12:41:53+00:00,COMPLETED,0,0,
tfv1:000055,13833,company.site,2026-08-20T12:41:54+00:00,2026-08-20T12:41:59+00:00,COMPLETED,50,0,
tfv1:000056,13843,sitezoogle.com,2026-08-20T12:42:05+00:00,2026-08-20T12:42:11+00:00,COMPLETED,0,0,
tfv1:000057,13859,drogaraia.com.br,2026-08-20T12:42:12+00:00,2026-08-20T12:42:17+00:00,COMPLETED,50,0,
tfv1:000058,13973,love8.ltd,2026-08-20T12:42:18+00:00,2026-08-20T12:42:23+00:00,COMPLETED,2,0,
tfv1:000059,13995,kan.org.il,2026-08-20T12:42:24+00:00,2026-08-20T12:42:29+00:00,COMPLETED,0,0,
tfv1:000060,14081,packtpub.com,2026-08-20T12:42:30+00:00,2026-08-20T12:42:35+00:00,COMPLETED,3,0,
tfv1:000061,14164,starott.com,2026-08-20T12:42:36+00:00,2026-08-20T12:42:42+00:00,COMPLETED,0,0,
tfv1:000062,14197,fastpeoplesearch.com,2026-08-20T12:42:43+00:00,2026-08-20T12:42:49+00:00,COMPLETED,0,0,
tfv1:000063,14210,europa.eu.int,2026-08-20T12:42:50+00:00,2026-08-20T12:42:55+00:00,COMPLETED,0,0,
