experiment_id,phase,corpus_variant,regime,seed,model,control,Train_N,Validation_N,Test_N,split_sha256,selected_parameters,Validation_MCC,Test_MCC,primary_result_source,machine_readable_source,phase_classification,git_commit,verification_status
UNCAPPED/C/42/M1/FULL_FEATURE,P3-05,UNCAPPED,C,42,M1,FULL_FEATURE,86931,18665,18558,34138ddc878dbbf33d585880624e0c6e022a362c2fcc66b3e121f89c75b504f5,"{""C"": 0.01}",0.28999752435724696,0.5056340942387074,docs/reports/phase3_p3_05_regime_c_seed42_integrity_2026-08-27.md,data/interim/phase3/p3_05_regime_c_seed42/p3_05_test_metrics.csv,P3_05_REGIME_C_SEED42_PASSED_WITH_NONBLOCKING_ISSUES,34b12c77d54e4c2747d9539263fe57b6f7cf49f0,LEVEL_1_VERIFIED
UNCAPPED/C/42/M2/FULL_FEATURE,P3-05,UNCAPPED,C,42,M2,FULL_FEATURE,86931,18665,18558,34138ddc878dbbf33d585880624e0c6e022a362c2fcc66b3e121f89c75b504f5,"{""learning_rate"": 0.1, ""max_iter"": 100, ""max_leaf_nodes"": 31}",0.6602450953649569,0.7056783915249681,docs/reports/phase3_p3_05_regime_c_seed42_integrity_2026-08-27.md,data/interim/phase3/p3_05_regime_c_seed42/p3_05_test_metrics.csv,P3_05_REGIME_C_SEED42_PASSED_WITH_NONBLOCKING_ISSUES,34b12c77d54e4c2747d9539263fe57b6f7cf49f0,LEVEL_1_VERIFIED
UNCAPPED/C/42/M3/FULL_FEATURE,P3-05,UNCAPPED,C,42,M3,FULL_FEATURE,86931,18665,18558,34138ddc878dbbf33d585880624e0c6e022a362c2fcc66b3e121f89c75b504f5,"{""C"": 1.0, ""max_features"": 25000}",0.9197397689139439,0.8252941465082957,docs/reports/phase3_p3_05_regime_c_seed42_integrity_2026-08-27.md,data/interim/phase3/p3_05_regime_c_seed42/p3_05_test_metrics.csv,P3_05_REGIME_C_SEED42_PASSED_WITH_NONBLOCKING_ISSUES,34b12c77d54e4c2747d9539263fe57b6f7cf49f0,LEVEL_1_VERIFIED
UNCAPPED/A/101/M1/FULL_FEATURE,P3-06,UNCAPPED,A,101,M1,FULL_FEATURE,86907,18624,18624,seed_101,"{""C"": 0.1}",0.6194873939134106,0.6091367965944001,docs/reports/phase3_p3_06_regime_a_five_seed_2026-08-28.md,data/interim/phase3/p3_06_regime_a_five_seed/seed_101/test_metrics.csv,P3_06_REGIME_A_FIVE_SEED_PASSED_WITH_NONBLOCKING_ISSUES,34b12c77d54e4c2747d9539263fe57b6f7cf49f0,LEVEL_1_VERIFIED
UNCAPPED/A/101/M2/FULL_FEATURE,P3-06,UNCAPPED,A,101,M2,FULL_FEATURE,86907,18624,18624,seed_101,"{""learning_rate"": 0.1, ""max_iter"": 200, ""max_leaf_nodes"": 63}",0.9045252237377571,0.9030396718158945,docs/reports/phase3_p3_06_regime_a_five_seed_2026-08-28.md,data/interim/phase3/p3_06_regime_a_five_seed/seed_101/test_metrics.csv,P3_06_REGIME_A_FIVE_SEED_PASSED_WITH_NONBLOCKING_ISSUES,34b12c77d54e4c2747d9539263fe57b6f7cf49f0,LEVEL_1_VERIFIED
UNCAPPED/A/101/M3/FULL_FEATURE,P3-06,UNCAPPED,A,101,M3,FULL_FEATURE,86907,18624,18624,seed_101,"{""C"": 10.0, ""max_features"": 50000}",0.9754334623889477,0.9717156057796225,docs/reports/phase3_p3_06_regime_a_five_seed_2026-08-28.md,data/interim/phase3/p3_06_regime_a_five_seed/seed_101/test_metrics.csv,P3_06_REGIME_A_FIVE_SEED_PASSED_WITH_NONBLOCKING_ISSUES,34b12c77d54e4c2747d9539263fe57b6f7cf49f0,LEVEL_1_VERIFIED
UNCAPPED/A/13/M1/FULL_FEATURE,P3-06,UNCAPPED,A,13,M1,FULL_FEATURE,86907,18624,18624,seed_13,"{""C"": 0.1}",0.6140462123092605,0.6238692171907545,docs/reports/phase3_p3_06_regime_a_five_seed_2026-08-28.md,data/interim/phase3/p3_06_regime_a_five_seed/seed_13/test_metrics.csv,P3_06_REGIME_A_FIVE_SEED_PASSED_WITH_NONBLOCKING_ISSUES,34b12c77d54e4c2747d9539263fe57b6f7cf49f0,LEVEL_1_VERIFIED
UNCAPPED/A/13/M2/FULL_FEATURE,P3-06,UNCAPPED,A,13,M2,FULL_FEATURE,86907,18624,18624,seed_13,"{""learning_rate"": 0.1, ""max_iter"": 200, ""max_leaf_nodes"": 63}",0.9074732604192891,0.9041756396111564,docs/reports/phase3_p3_06_regime_a_five_seed_2026-08-28.md,data/interim/phase3/p3_06_regime_a_five_seed/seed_13/test_metrics.csv,P3_06_REGIME_A_FIVE_SEED_PASSED_WITH_NONBLOCKING_ISSUES,34b12c77d54e4c2747d9539263fe57b6f7cf49f0,LEVEL_1_VERIFIED
UNCAPPED/A/13/M3/FULL_FEATURE,P3-06,UNCAPPED,A,13,M3,FULL_FEATURE,86907,18624,18624,seed_13,"{""C"": 10.0, ""max_features"": 25000}",0.9707014952158155,0.9733670582610409,docs/reports/phase3_p3_06_regime_a_five_seed_2026-08-28.md,data/interim/phase3/p3_06_regime_a_five_seed/seed_13/test_metrics.csv,P3_06_REGIME_A_FIVE_SEED_PASSED_WITH_NONBLOCKING_ISSUES,34b12c77d54e4c2747d9539263fe57b6f7cf49f0,LEVEL_1_VERIFIED
UNCAPPED/A/2026/M1/FULL_FEATURE,P3-06,UNCAPPED,A,2026,M1,FULL_FEATURE,86907,18624,18624,seed_2026,"{""C"": 1.0}",0.5941888147466411,0.6052805471835055,docs/reports/phase3_p3_06_regime_a_five_seed_2026-08-28.md,data/interim/phase3/p3_06_regime_a_five_seed/seed_2026/test_metrics.csv,P3_06_REGIME_A_FIVE_SEED_PASSED_WITH_NONBLOCKING_ISSUES,34b12c77d54e4c2747d9539263fe57b6f7cf49f0,LEVEL_1_VERIFIED
