experiment_id,regime,seed,model,metric,point_estimate,bootstrap_replicate_count,CI_lower,CI_upper,confidence_level,bootstrap_method,cluster_key,master_seed
UNCAPPED/A/13/M1,A,13,M1,MCC,0.6238692171907545,2000,0.5729916568591306,0.6633806617085908,0.95,NON_PARAMETRIC_CLASS_STRATIFIED_SITE_CLUSTER_PERCENTILE_BOOTSTRAP,site_key_private,99
UNCAPPED/A/13/M1,A,13,M1,PR-AUC,0.9167863843518205,2000,0.8938358921736757,0.9367497432022887,0.95,NON_PARAMETRIC_CLASS_STRATIFIED_SITE_CLUSTER_PERCENTILE_BOOTSTRAP,site_key_private,99
UNCAPPED/A/13/M1,A,13,M1,Macro F1,0.8064793681497537,2000,0.7798990391641183,0.8267301439043108,0.95,NON_PARAMETRIC_CLASS_STRATIFIED_SITE_CLUSTER_PERCENTILE_BOOTSTRAP,site_key_private,99
UNCAPPED/A/13/M1,A,13,M1,Phishing Recall,0.9088029809035864,2000,0.8755782852195937,0.931711248687561,0.95,NON_PARAMETRIC_CLASS_STRATIFIED_SITE_CLUSTER_PERCENTILE_BOOTSTRAP,site_key_private,99
UNCAPPED/A/13/M1,A,13,M1,Precision,0.8003937976864386,2000,0.7401905622786304,0.8465711305900411,0.95,NON_PARAMETRIC_CLASS_STRATIFIED_SITE_CLUSTER_PERCENTILE_BOOTSTRAP,site_key_private,99
UNCAPPED/A/13/M1,A,13,M1,FPR,0.3084041069844087,2000,0.28207380167552604,0.33354955705703715,0.95,NON_PARAMETRIC_CLASS_STRATIFIED_SITE_CLUSTER_PERCENTILE_BOOTSTRAP,site_key_private,99
UNCAPPED/A/13/M1,A,13,M1,Specificity,0.6915958930155913,2000,0.6664504429429629,0.717926198324474,0.95,NON_PARAMETRIC_CLASS_STRATIFIED_SITE_CLUSTER_PERCENTILE_BOOTSTRAP,site_key_private,99
UNCAPPED/A/13/M1,A,13,M1,Balanced Accuracy,0.8001994369595888,2000,0.7790852967147504,0.817460385820891,0.95,NON_PARAMETRIC_CLASS_STRATIFIED_SITE_CLUSTER_PERCENTILE_BOOTSTRAP,site_key_private,99
UNCAPPED/A/13/M1,A,13,M1,ROC-AUC,0.8927565594420441,2000,0.8728715373323447,0.9112711728093805,0.95,NON_PARAMETRIC_CLASS_STRATIFIED_SITE_CLUSTER_PERCENTILE_BOOTSTRAP,site_key_private,99
UNCAPPED/A/13/M2,A,13,M2,MCC,0.9041756396111564,2000,0.8891401711928443,0.9155097728280365,0.95,NON_PARAMETRIC_CLASS_STRATIFIED_SITE_CLUSTER_PERCENTILE_BOOTSTRAP,site_key_private,99
UNCAPPED/A/13/M2,A,13,M2,PR-AUC,0.9931371110153367,2000,0.9883954746745225,0.9958455102131756,0.95,NON_PARAMETRIC_CLASS_STRATIFIED_SITE_CLUSTER_PERCENTILE_BOOTSTRAP,site_key_private,99
UNCAPPED/A/13/M2,A,13,M2,Macro F1,0.951917992530364,2000,0.9443766658618644,0.9575393849165794,0.95,NON_PARAMETRIC_CLASS_STRATIFIED_SITE_CLUSTER_PERCENTILE_BOOTSTRAP,site_key_private,99
UNCAPPED/A/13/M2,A,13,M2,Phishing Recall,0.9477410340009316,2000,0.9300614834008213,0.9602170018147969,0.95,NON_PARAMETRIC_CLASS_STRATIFIED_SITE_CLUSTER_PERCENTILE_BOOTSTRAP,site_key_private,99
UNCAPPED/A/13/M2,A,13,M2,Precision,0.969783624058717,2000,0.9571357949199272,0.9784744188541515,0.95,NON_PARAMETRIC_CLASS_STRATIFIED_SITE_CLUSTER_PERCENTILE_BOOTSTRAP,site_key_private,99
UNCAPPED/A/13/M2,A,13,M2,FPR,0.04018253264038535,2000,0.034215762275249806,0.04616049703502106,0.95,NON_PARAMETRIC_CLASS_STRATIFIED_SITE_CLUSTER_PERCENTILE_BOOTSTRAP,site_key_private,99
UNCAPPED/A/13/M2,A,13,M2,Specificity,0.9598174673596147,2000,0.953839502964979,0.9657842377247502,0.95,NON_PARAMETRIC_CLASS_STRATIFIED_SITE_CLUSTER_PERCENTILE_BOOTSTRAP,site_key_private,99
UNCAPPED/A/13/M2,A,13,M2,Balanced Accuracy,0.9537792506802731,2000,0.9446597504559316,0.9606924624161992,0.95,NON_PARAMETRIC_CLASS_STRATIFIED_SITE_CLUSTER_PERCENTILE_BOOTSTRAP,site_key_private,99
UNCAPPED/A/13/M2,A,13,M2,ROC-AUC,0.9898161218390968,2000,0.9864739217072476,0.9921676335906016,0.95,NON_PARAMETRIC_CLASS_STRATIFIED_SITE_CLUSTER_PERCENTILE_BOOTSTRAP,site_key_private,99
UNCAPPED/A/13/M3,A,13,M3,MCC,0.9733670582610409,2000,0.9679662443445943,0.9774232781629756,0.95,NON_PARAMETRIC_CLASS_STRATIFIED_SITE_CLUSTER_PERCENTILE_BOOTSTRAP,site_key_private,99
UNCAPPED/A/13/M3,A,13,M3,PR-AUC,0.9992160028463223,2000,0.9985559584124183,0.9995706003570739,0.95,NON_PARAMETRIC_CLASS_STRATIFIED_SITE_CLUSTER_PERCENTILE_BOOTSTRAP,site_key_private,99
UNCAPPED/A/13/M3,A,13,M3,Macro F1,0.9866599824383814,2000,0.983947719059494,0.9886889287125392,0.95,NON_PARAMETRIC_CLASS_STRATIFIED_SITE_CLUSTER_PERCENTILE_BOOTSTRAP,site_key_private,99
UNCAPPED/A/13/M3,A,13,M3,Phishing Recall,0.9845365626455519,2000,0.9781974000419605,0.988681256859921,0.95,NON_PARAMETRIC_CLASS_STRATIFIED_SITE_CLUSTER_PERCENTILE_BOOTSTRAP,site_key_private,99
UNCAPPED/A/13/M3,A,13,M3,Precision,0.9927672365207589,2000,0.9897509957980302,0.9950041550287615,0.95,NON_PARAMETRIC_CLASS_STRATIFIED_SITE_CLUSTER_PERCENTILE_BOOTSTRAP,site_key_private,99
UNCAPPED/A/13/M3,A,13,M3,FPR,0.009760425909494233,2000,0.007569040639110488,0.012259423801077644,0.95,NON_PARAMETRIC_CLASS_STRATIFIED_SITE_CLUSTER_PERCENTILE_BOOTSTRAP,site_key_private,99
UNCAPPED/A/13/M3,A,13,M3,Specificity,0.9902395740905058,2000,0.9877405761989224,0.9924309593608894,0.95,NON_PARAMETRIC_CLASS_STRATIFIED_SITE_CLUSTER_PERCENTILE_BOOTSTRAP,site_key_private,99
UNCAPPED/A/13/M3,A,13,M3,Balanced Accuracy,0.9873880683680288,2000,0.9841444675381532,0.9897013461539831,0.95,NON_PARAMETRIC_CLASS_STRATIFIED_SITE_CLUSTER_PERCENTILE_BOOTSTRAP,site_key_private,99
UNCAPPED/A/13/M3,A,13,M3,ROC-AUC,0.998795915592469,2000,0.9981582152816345,0.9992154450184766,0.95,NON_PARAMETRIC_CLASS_STRATIFIED_SITE_CLUSTER_PERCENTILE_BOOTSTRAP,site_key_private,99
UNCAPPED/A/42/M1,A,42,M1,MCC,0.6003879462026439,2000,0.5501718350430024,0.6421620246134246,0.95,NON_PARAMETRIC_CLASS_STRATIFIED_SITE_CLUSTER_PERCENTILE_BOOTSTRAP,site_key_private,99
UNCAPPED/A/42/M1,A,42,M1,PR-AUC,0.9191997556020287,2000,0.8959987219791842,0.9394134041141131,0.95,NON_PARAMETRIC_CLASS_STRATIFIED_SITE_CLUSTER_PERCENTILE_BOOTSTRAP,site_key_private,99
UNCAPPED/A/42/M1,A,42,M1,Macro F1,0.7923947058451981,2000,0.7656384676611496,0.8142984640858625,0.95,NON_PARAMETRIC_CLASS_STRATIFIED_SITE_CLUSTER_PERCENTILE_BOOTSTRAP,site_key_private,99
UNCAPPED/A/42/M1,A,42,M1,Phishing Recall,0.911877037727061,2000,0.8787488507511775,0.937035285380261,0.95,NON_PARAMETRIC_CLASS_STRATIFIED_SITE_CLUSTER_PERCENTILE_BOOTSTRAP,site_key_private,99
UNCAPPED/A/42/M1,A,42,M1,Precision,0.784689378757515,2000,0.7204490347757713,0.8340377712790061,0.95,NON_PARAMETRIC_CLASS_STRATIFIED_SITE_CLUSTER_PERCENTILE_BOOTSTRAP,site_key_private,99
UNCAPPED/A/42/M1,A,42,M1,FPR,0.3404740778298897,2000,0.31382100861124534,0.36734289447971336,0.95,NON_PARAMETRIC_CLASS_STRATIFIED_SITE_CLUSTER_PERCENTILE_BOOTSTRAP,site_key_private,99
UNCAPPED/A/42/M1,A,42,M1,Specificity,0.6595259221701103,2000,0.6326571055202866,0.6861789913887546,0.95,NON_PARAMETRIC_CLASS_STRATIFIED_SITE_CLUSTER_PERCENTILE_BOOTSTRAP,site_key_private,99
UNCAPPED/A/42/M1,A,42,M1,Balanced Accuracy,0.7857014799485856,2000,0.7646060877202353,0.8040474221820672,0.95,NON_PARAMETRIC_CLASS_STRATIFIED_SITE_CLUSTER_PERCENTILE_BOOTSTRAP,site_key_private,99
UNCAPPED/A/42/M1,A,42,M1,ROC-AUC,0.8929717836849349,2000,0.8697114526775086,0.9124287303091675,0.95,NON_PARAMETRIC_CLASS_STRATIFIED_SITE_CLUSTER_PERCENTILE_BOOTSTRAP,site_key_private,99
UNCAPPED/A/42/M2,A,42,M2,MCC,0.9056056233411224,2000,0.89032429134535,0.9164288201863106,0.95,NON_PARAMETRIC_CLASS_STRATIFIED_SITE_CLUSTER_PERCENTILE_BOOTSTRAP,site_key_private,99
UNCAPPED/A/42/M2,A,42,M2,PR-AUC,0.9922408341835747,2000,0.9868078647225094,0.9951494210847197,0.95,NON_PARAMETRIC_CLASS_STRATIFIED_SITE_CLUSTER_PERCENTILE_BOOTSTRAP,site_key_private,99
UNCAPPED/A/42/M2,A,42,M2,Macro F1,0.9527594628905058,2000,0.9450886291265267,0.958168806168262,0.95,NON_PARAMETRIC_CLASS_STRATIFIED_SITE_CLUSTER_PERCENTILE_BOOTSTRAP,site_key_private,99
UNCAPPED/A/42/M2,A,42,M2,Phishing Recall,0.9541686073591057,2000,0.9387696893042383,0.9648223572889292,0.95,NON_PARAMETRIC_CLASS_STRATIFIED_SITE_CLUSTER_PERCENTILE_BOOTSTRAP,site_key_private,99
UNCAPPED/A/42/M2,A,42,M2,Precision,0.965228043724086,2000,0.9511525226836616,0.9746439461252988,0.95,NON_PARAMETRIC_CLASS_STRATIFIED_SITE_CLUSTER_PERCENTILE_BOOTSTRAP,site_key_private,99
UNCAPPED/A/42/M2,A,42,M2,FPR,0.04677398909874509,2000,0.04050807749283041,0.05360399199618988,0.95,NON_PARAMETRIC_CLASS_STRATIFIED_SITE_CLUSTER_PERCENTILE_BOOTSTRAP,site_key_private,99
UNCAPPED/A/42/M2,A,42,M2,Specificity,0.9532260109012549,2000,0.9463960080038102,0.9594919225071695,0.95,NON_PARAMETRIC_CLASS_STRATIFIED_SITE_CLUSTER_PERCENTILE_BOOTSTRAP,site_key_private,99
UNCAPPED/A/42/M2,A,42,M2,Balanced Accuracy,0.9536973091301804,2000,0.9452250040227814,0.9598168677983309,0.95,NON_PARAMETRIC_CLASS_STRATIFIED_SITE_CLUSTER_PERCENTILE_BOOTSTRAP,site_key_private,99
UNCAPPED/A/42/M2,A,42,M2,ROC-AUC,0.9887286885697412,2000,0.9851461721730373,0.9911707750255652,0.95,NON_PARAMETRIC_CLASS_STRATIFIED_SITE_CLUSTER_PERCENTILE_BOOTSTRAP,site_key_private,99
UNCAPPED/A/42/M3,A,42,M3,MCC,0.9758427426919889,2000,0.9704772507265518,0.9799664064823849,0.95,NON_PARAMETRIC_CLASS_STRATIFIED_SITE_CLUSTER_PERCENTILE_BOOTSTRAP,site_key_private,99
UNCAPPED/A/42/M3,A,42,M3,PR-AUC,0.9992990627262023,2000,0.9986695251473072,0.9996212490892444,0.95,NON_PARAMETRIC_CLASS_STRATIFIED_SITE_CLUSTER_PERCENTILE_BOOTSTRAP,site_key_private,99
UNCAPPED/A/42/M3,A,42,M3,Macro F1,0.9879145043209434,2000,0.9852282945374469,0.9899769304729816,0.95,NON_PARAMETRIC_CLASS_STRATIFIED_SITE_CLUSTER_PERCENTILE_BOOTSTRAP,site_key_private,99
UNCAPPED/A/42/M3,A,42,M3,Phishing Recall,0.9875174662319516,2000,0.9820760518825098,0.991126660748743,0.95,NON_PARAMETRIC_CLASS_STRATIFIED_SITE_CLUSTER_PERCENTILE_BOOTSTRAP,site_key_private,99
UNCAPPED/A/42/M3,A,42,M3,Precision,0.9919528398989427,2000,0.9882530619063167,0.9945263331076714,0.95,NON_PARAMETRIC_CLASS_STRATIFIED_SITE_CLUSTER_PERCENTILE_BOOTSTRAP,site_key_private,99
UNCAPPED/A/42/M3,A,42,M3,FPR,0.01090125491190265,2000,0.008398981642914145,0.013709294733627933,0.95,NON_PARAMETRIC_CLASS_STRATIFIED_SITE_CLUSTER_PERCENTILE_BOOTSTRAP,site_key_private,99
