Variant,Regime,Model,Seed,MCC,Source
CAP10,A,M1,42,0.546,data/interim/phase3/PHASE3_AUTHORITATIVE_RESULT_REGISTRY.csv
CAP10,A,M2,42,0.820,data/interim/phase3/PHASE3_AUTHORITATIVE_RESULT_REGISTRY.csv
CAP10,A,M3,42,0.944,data/interim/phase3/PHASE3_AUTHORITATIVE_RESULT_REGISTRY.csv
CAP10,C,M1,42,0.480,data/interim/phase3/PHASE3_AUTHORITATIVE_RESULT_REGISTRY.csv
CAP10,C,M2,42,0.695,data/interim/phase3/PHASE3_AUTHORITATIVE_RESULT_REGISTRY.csv
CAP10,C,M3,42,0.840,data/interim/phase3/PHASE3_AUTHORITATIVE_RESULT_REGISTRY.csv
CAP5,A,M1,42,0.531,data/interim/phase3/PHASE3_AUTHORITATIVE_RESULT_REGISTRY.csv
CAP5,A,M2,42,0.770,data/interim/phase3/PHASE3_AUTHORITATIVE_RESULT_REGISTRY.csv
CAP5,A,M3,42,0.904,data/interim/phase3/PHASE3_AUTHORITATIVE_RESULT_REGISTRY.csv
CAP5,C,M1,42,0.439,data/interim/phase3/PHASE3_AUTHORITATIVE_RESULT_REGISTRY.csv
CAP5,C,M2,42,0.650,data/interim/phase3/PHASE3_AUTHORITATIVE_RESULT_REGISTRY.csv
CAP5,C,M3,42,0.800,data/interim/phase3/PHASE3_AUTHORITATIVE_RESULT_REGISTRY.csv
