site_frame_id,tranco_rank,tranco_domain,request_started_at,request_finished_at,request_status,records_returned,retry_count,error_type
tfv1:000283,27486,wn06.cfd,2026-08-20T13:39:45+00:00,2026-08-20T13:40:21+00:00,FAILED,0,1,HTTP_504
tfv1:000295,28211,ipsolver.com,2026-08-20T13:42:06+00:00,2026-08-20T13:42:40+00:00,FAILED,0,1,HTTP_502
tfv1:000430,37494,csi.it,2026-08-21T14:29:59+00:00,2026-08-21T14:30:20+00:00,FAILED,0,1,HTTP_504
tfv1:000436,37667,pdfforge.org,2026-08-21T14:31:13+00:00,2026-08-21T14:31:31+00:00,FAILED,0,1,HTTP_502
tfv1:000545,45191,ahml.ru,2026-08-21T14:50:25+00:00,2026-08-21T14:50:45+00:00,FAILED,0,1,HTTP_504
tfv1:000718,57934,top-channel.tv,2026-08-21T15:21:56+00:00,2026-08-21T15:22:21+00:00,FAILED,0,1,HTTP_504
tfv1:000779,64285,elance.com,2026-08-21T15:27:22+00:00,2026-08-21T15:27:43+00:00,FAILED,0,1,HTTP_504
tfv1:000808,66089,e-kakushin.com,2026-08-21T15:31:28+00:00,2026-08-21T15:31:52+00:00,FAILED,0,1,HTTP_504
tfv1:000820,66932,hosting-nation.net,2026-08-21T15:32:53+00:00,2026-08-21T15:33:13+00:00,FAILED,0,1,HTTP_504
tfv1:000865,69800,t-nation.com,2026-08-21T15:37:19+00:00,2026-08-21T15:37:23+00:00,FAILED,0,1,RemoteDisconnected
tfv1:000866,69810,dotdigital-pages.com,2026-08-21T15:37:25+00:00,2026-08-21T15:37:29+00:00,FAILED,0,1,RemoteDisconnected
tfv1:000867,69913,uca.edu.ar,2026-08-21T15:37:31+00:00,2026-08-21T15:37:35+00:00,FAILED,0,1,RemoteDisconnected
tfv1:000868,69929,musiclike.top,2026-08-21T15:48:04+00:00,2026-08-21T15:48:09+00:00,FAILED,0,1,RemoteDisconnected
tfv1:000869,70014,trellocdn.com,2026-08-21T15:48:12+00:00,2026-08-21T15:48:16+00:00,FAILED,0,1,RemoteDisconnected
tfv1:000870,70068,cybba.solutions,2026-08-21T15:48:18+00:00,2026-08-21T15:48:22+00:00,FAILED,0,1,RemoteDisconnected
tfv1:001021,82228,tradedepot.co.nz,2026-08-23T13:05:44+00:00,2026-08-23T13:06:09+00:00,FAILED,0,1,HTTP_504
tfv1:001682,204090,allnet.co.in,2026-08-23T14:07:15+00:00,2026-08-23T14:07:19+00:00,FAILED,0,1,RemoteDisconnected
tfv1:001683,204180,superbheating.com,2026-08-23T14:07:23+00:00,2026-08-23T14:07:27+00:00,FAILED,0,1,RemoteDisconnected
tfv1:001684,204370,hdkore1.com,2026-08-23T14:07:29+00:00,2026-08-23T14:07:34+00:00,FAILED,0,1,RemoteDisconnected
tfv1:001745,217678,tgsrtclogistics.co.in,2026-08-23T15:52:20+00:00,2026-08-23T15:52:23+00:00,FAILED,0,1,RemoteDisconnected
tfv1:001746,217684,thb44.vip,2026-08-23T15:52:26+00:00,2026-08-23T15:52:30+00:00,FAILED,0,1,RemoteDisconnected
tfv1:001748,217895,umaximo.com,2026-08-23T15:52:38+00:00,2026-08-23T15:52:42+00:00,FAILED,0,1,RemoteDisconnected
tfv1:001750,218261,xtotohengheng.com,2026-08-23T15:52:50+00:00,2026-08-23T15:52:53+00:00,FAILED,0,1,RemoteDisconnected
tfv1:001756,218921,loveradvisor.org,2026-08-23T15:53:27+00:00,2026-08-23T15:53:31+00:00,FAILED,0,1,RemoteDisconnected
tfv1:001804,232265,ckee.ru,2026-08-24T13:49:33+00:00,2026-08-24T13:49:48+00:00,FAILED,0,1,HTTP_502
tfv1:001987,297306,buyfilteronline.com,2026-08-24T15:47:35+00:00,2026-08-24T15:47:58+00:00,FAILED,0,1,HTTP_400
tfv1:001993,301028,cigarasylum.com,2026-08-24T15:48:41+00:00,2026-08-24T15:49:05+00:00,FAILED,0,1,HTTP_504
tfv1:002034,320117,wingnet.com.tw,2026-08-24T16:05:26+00:00,2026-08-24T16:05:47+00:00,FAILED,0,1,HTTP_400
tfv1:002040,323057,rocketbbs.com,2026-08-24T16:06:41+00:00,2026-08-24T16:07:01+00:00,FAILED,0,1,HTTP_502
tfv1:002045,324863,ca61civils.de,2026-08-24T16:07:48+00:00,2026-08-24T16:08:13+00:00,FAILED,0,1,HTTP_504
tfv1:002046,324908,hologydenoughta.info,2026-08-24T16:08:18+00:00,2026-08-24T16:08:38+00:00,FAILED,0,1,HTTP_504
tfv1:002058,328018,flcc.edu,2026-08-24T16:17:39+00:00,2026-08-24T16:18:04+00:00,FAILED,0,1,HTTP_504
tfv1:002063,329193,myavista.com,2026-08-24T16:18:42+00:00,2026-08-24T16:19:06+00:00,FAILED,0,1,HTTP_502
tfv1:002096,340537,radixweb.com,2026-08-24T16:24:41+00:00,2026-08-24T16:25:01+00:00,FAILED,0,1,HTTP_502
tfv1:002477,491310,zupmvenw.cn,2026-08-24T17:27:06+00:00,2026-08-24T17:27:25+00:00,FAILED,0,1,HTTP_504
