selection_row_id,tranco_list_id,tranco_rank,tranco_domain,selection_seed,selection_rule,selection_timestamp,rank_band
tfv1:000001,26J39,10027,ciceksepeti.com,42,stratified uniform sample: 625 domains from each fixed rank band; Python random.Random(42),2026-08-20T12:17:41+00:00,10001-50000
tfv1:000002,26J39,10038,hotpic.me,42,stratified uniform sample: 625 domains from each fixed rank band; Python random.Random(42),2026-08-20T12:17:41+00:00,10001-50000
tfv1:000003,26J39,10111,contentstack.io,42,stratified uniform sample: 625 domains from each fixed rank band; Python random.Random(42),2026-08-20T12:17:41+00:00,10001-50000
tfv1:000004,26J39,10142,loteriasdehoy.co,42,stratified uniform sample: 625 domains from each fixed rank band; Python random.Random(42),2026-08-20T12:17:41+00:00,10001-50000
tfv1:000005,26J39,10213,google.li,42,stratified uniform sample: 625 domains from each fixed rank band; Python random.Random(42),2026-08-20T12:17:41+00:00,10001-50000
tfv1:000006,26J39,10233,u-money.money,42,stratified uniform sample: 625 domains from each fixed rank band; Python random.Random(42),2026-08-20T12:17:41+00:00,10001-50000
tfv1:000007,26J39,10364,pearltrees.com,42,stratified uniform sample: 625 domains from each fixed rank band; Python random.Random(42),2026-08-20T12:17:41+00:00,10001-50000
tfv1:000008,26J39,10387,google.dj,42,stratified uniform sample: 625 domains from each fixed rank band; Python random.Random(42),2026-08-20T12:17:41+00:00,10001-50000
tfv1:000009,26J39,10426,link.me,42,stratified uniform sample: 625 domains from each fixed rank band; Python random.Random(42),2026-08-20T12:17:41+00:00,10001-50000
tfv1:000010,26J39,10472,yahoosandbox.net,42,stratified uniform sample: 625 domains from each fixed rank band; Python random.Random(42),2026-08-20T12:17:41+00:00,10001-50000
tfv1:000011,26J39,10513,my-imcloud.com,42,stratified uniform sample: 625 domains from each fixed rank band; Python random.Random(42),2026-08-20T12:17:41+00:00,10001-50000
tfv1:000012,26J39,10611,shaw.ca,42,stratified uniform sample: 625 domains from each fixed rank band; Python random.Random(42),2026-08-20T12:17:41+00:00,10001-50000
tfv1:000013,26J39,10634,polovniautomobili.com,42,stratified uniform sample: 625 domains from each fixed rank band; Python random.Random(42),2026-08-20T12:17:41+00:00,10001-50000
tfv1:000014,26J39,10753,marxists.org,42,stratified uniform sample: 625 domains from each fixed rank band; Python random.Random(42),2026-08-20T12:17:41+00:00,10001-50000
tfv1:000015,26J39,10968,192.in-addr.arpa,42,stratified uniform sample: 625 domains from each fixed rank band; Python random.Random(42),2026-08-20T12:17:41+00:00,10001-50000
tfv1:000016,26J39,11271,voipbuster.com,42,stratified uniform sample: 625 domains from each fixed rank band; Python random.Random(42),2026-08-20T12:17:41+00:00,10001-50000
tfv1:000017,26J39,11277,feefo.com,42,stratified uniform sample: 625 domains from each fixed rank band; Python random.Random(42),2026-08-20T12:17:41+00:00,10001-50000
tfv1:000018,26J39,11281,pitchbook.com,42,stratified uniform sample: 625 domains from each fixed rank band; Python random.Random(42),2026-08-20T12:17:41+00:00,10001-50000
tfv1:000019,26J39,11379,zoomdev.us,42,stratified uniform sample: 625 domains from each fixed rank band; Python random.Random(42),2026-08-20T12:17:41+00:00,10001-50000
tfv1:000020,26J39,11551,honda.co.jp,42,stratified uniform sample: 625 domains from each fixed rank band; Python random.Random(42),2026-08-20T12:17:41+00:00,10001-50000
tfv1:000021,26J39,11601,omni.ru,42,stratified uniform sample: 625 domains from each fixed rank band; Python random.Random(42),2026-08-20T12:17:41+00:00,10001-50000
tfv1:000022,26J39,11625,jdpower.com,42,stratified uniform sample: 625 domains from each fixed rank band; Python random.Random(42),2026-08-20T12:17:41+00:00,10001-50000
tfv1:000023,26J39,11640,sportsplus.ph,42,stratified uniform sample: 625 domains from each fixed rank band; Python random.Random(42),2026-08-20T12:17:41+00:00,10001-50000
tfv1:000024,26J39,11740,zoznam.sk,42,stratified uniform sample: 625 domains from each fixed rank band; Python random.Random(42),2026-08-20T12:17:41+00:00,10001-50000
tfv1:000025,26J39,11768,atlanticcouncil.org,42,stratified uniform sample: 625 domains from each fixed rank band; Python random.Random(42),2026-08-20T12:17:41+00:00,10001-50000
tfv1:000026,26J39,11777,sinch.com,42,stratified uniform sample: 625 domains from each fixed rank band; Python random.Random(42),2026-08-20T12:17:41+00:00,10001-50000
tfv1:000027,26J39,11809,sport-express.ru,42,stratified uniform sample: 625 domains from each fixed rank band; Python random.Random(42),2026-08-20T12:17:41+00:00,10001-50000
tfv1:000028,26J39,11903,axiom.co,42,stratified uniform sample: 625 domains from each fixed rank band; Python random.Random(42),2026-08-20T12:17:41+00:00,10001-50000
tfv1:000029,26J39,11953,devpost.com,42,stratified uniform sample: 625 domains from each fixed rank band; Python random.Random(42),2026-08-20T12:17:41+00:00,10001-50000
tfv1:000030,26J39,12059,superwall.me,42,stratified uniform sample: 625 domains from each fixed rank band; Python random.Random(42),2026-08-20T12:17:41+00:00,10001-50000
tfv1:000031,26J39,12083,swatch.com,42,stratified uniform sample: 625 domains from each fixed rank band; Python random.Random(42),2026-08-20T12:17:41+00:00,10001-50000
tfv1:000032,26J39,12104,kodak.com,42,stratified uniform sample: 625 domains from each fixed rank band; Python random.Random(42),2026-08-20T12:17:41+00:00,10001-50000
tfv1:000033,26J39,12362,oszar.com,42,stratified uniform sample: 625 domains from each fixed rank band; Python random.Random(42),2026-08-20T12:17:41+00:00,10001-50000
tfv1:000034,26J39,12508,sovcloud.cn,42,stratified uniform sample: 625 domains from each fixed rank band; Python random.Random(42),2026-08-20T12:17:41+00:00,10001-50000
tfv1:000035,26J39,12538,smu.edu.sg,42,stratified uniform sample: 625 domains from each fixed rank band; Python random.Random(42),2026-08-20T12:17:41+00:00,10001-50000
tfv1:000036,26J39,12605,indiadafa.com,42,stratified uniform sample: 625 domains from each fixed rank band; Python random.Random(42),2026-08-20T12:17:41+00:00,10001-50000
tfv1:000037,26J39,12615,thepioneerwoman.com,42,stratified uniform sample: 625 domains from each fixed rank band; Python random.Random(42),2026-08-20T12:17:41+00:00,10001-50000
tfv1:000038,26J39,12742,china.org.cn,42,stratified uniform sample: 625 domains from each fixed rank band; Python random.Random(42),2026-08-20T12:17:41+00:00,10001-50000
tfv1:000039,26J39,12848,fozzy.com,42,stratified uniform sample: 625 domains from each fixed rank band; Python random.Random(42),2026-08-20T12:17:41+00:00,10001-50000
tfv1:000040,26J39,12890,i-mobile.co.jp,42,stratified uniform sample: 625 domains from each fixed rank band; Python random.Random(42),2026-08-20T12:17:41+00:00,10001-50000
tfv1:000041,26J39,12909,rakuten.tv,42,stratified uniform sample: 625 domains from each fixed rank band; Python random.Random(42),2026-08-20T12:17:41+00:00,10001-50000
tfv1:000042,26J39,13004,vegamovie.sl,42,stratified uniform sample: 625 domains from each fixed rank band; Python random.Random(42),2026-08-20T12:17:41+00:00,10001-50000
tfv1:000043,26J39,13029,mawartotozoro.com,42,stratified uniform sample: 625 domains from each fixed rank band; Python random.Random(42),2026-08-20T12:17:41+00:00,10001-50000
tfv1:000044,26J39,13088,syracuse.com,42,stratified uniform sample: 625 domains from each fixed rank band; Python random.Random(42),2026-08-20T12:17:41+00:00,10001-50000
tfv1:000045,26J39,13287,ja.net,42,stratified uniform sample: 625 domains from each fixed rank band; Python random.Random(42),2026-08-20T12:17:41+00:00,10001-50000
tfv1:000046,26J39,13292,korrespondent.net,42,stratified uniform sample: 625 domains from each fixed rank band; Python random.Random(42),2026-08-20T12:17:41+00:00,10001-50000
tfv1:000047,26J39,13296,canalplus.com,42,stratified uniform sample: 625 domains from each fixed rank band; Python random.Random(42),2026-08-20T12:17:41+00:00,10001-50000
